CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DFP;159112;2026-06-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=159112
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DFP;158042;2026-05-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=158042
08.070.508/0001-78;2026-03-31;1;RAIZEN ENERGIA S.A.;023230;DFP;159258;2026-06-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=159258
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DFP;159123;2026-06-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=159123
33.453.598/0001-23;2026-03-31;1;RAÍZEN S.A.;025917;DFP;159257;2026-06-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=159257
51.466.860/0001-56;2026-03-31;1;SAO MARTINHO S.A.;020516;DFP;157941;2026-05-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157941
64.904.295/0001-03;2026-02-28;1;CAMIL ALIMENTOS S.A.;024228;DFP;156875;2026-05-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156875
