CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
45.453.214/0001-51;2025-12-31;1;PROFARMA DISTRIB PROD FARMACEUTICOS S.A.;020346;DFP;155394;2026-03-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155394
45.453.214/0001-51;2025-12-31;2;PROFARMA DISTRIB PROD FARMACEUTICOS S.A.;020346;DFP;155768;2026-03-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155768
45.456.117/0001-12;2025-12-31;1;ÁGUAS DO SERTÃO S.A.;027359;DFP;155808;2026-03-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155808
45.736.131/0001-70;2025-12-31;1;UNIDAS LOCADORA S.A.;027162;DFP;155483;2026-03-18;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155483
45.987.245/0001-92;2025-12-31;1;BIOMA EDUCAÇÃO S.A.;000701;DFP;155970;2026-04-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155970
46.119.855/0001-37;2025-12-31;1;SOCIEDADE ABASTECIMENTO DE ÁGUA E SANEAMENTO S.A - SANASA;016241;DFP;155880;2026-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155880
46.568.486/0001-60;2025-12-31;1;MANTIQUEIRA HOLDING S.A.;027952;DFP;155267;2026-03-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155267
46.573.272/0001-81;2025-12-31;1;PORTO SAÚDE PARTICIPAÇÕES S.A.;027618;DFP;154598;2026-02-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=154598
47.155.252/0001-53;2025-12-31;1;VIA ARAUCÁRIA CONCESSIONÁRIA DE RODOVIAS S.A.;027936;DFP;155048;2026-03-04;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155048
47.508.411/0001-56;2025-12-31;1;CIA BRASILEIRA DE DISTRIBUICAO;014826;DFP;154864;2026-02-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=154864
47.509.120/0001-82;2025-12-31;1;BRADESCO LEASING S.A. ARREND MERCANTIL;019640;DFP;154980;2026-03-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=154980
47.586.663/0001-01;2025-12-31;1;NOVA SOCIEDADE DE NAVEGAÇÃO S.A.;027081;DFP;155928;2026-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155928
47.815.827/0001-17;2025-12-31;1;CAMINHOS DA SERRA GAUCHA S/A;027871;DFP;155828;2026-03-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155828
47.960.950/0001-21;2025-12-31;1;MAGAZINE LUIZA S.A.;022470;DFP;155314;2026-03-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155314
48.127.008/0001-40;2025-12-31;1;CONCESSIONÁRIA RODOVIAS DO SUL DE MINAS SPE S.A.;027596;DFP;155595;2026-03-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155595
48.127.012/0001-08;2025-12-31;1;CONCESSIONÁRIA RODOVIAS DO TRIÂNGULO SPE S.A.;027537;DFP;155598;2026-03-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155598
48.710.127/0001-20;2025-12-31;1;SPE NOVO NORTE AEROPORTOS S.A;027758;DFP;155395;2026-03-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155395
48.851.242/0001-15;2025-12-31;1;CONCESSIONARIA DAS RODOVIAS DO LESTE MS S/A;027790;DFP;155877;2026-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155877
49.115.815/0001-05;2025-12-31;1;JBS N.V.;080233;DFP;155686;2026-03-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155686
49.263.189/0001-02;2025-12-31;1;HELBOR EMPREENDIMENTOS S.A.;020877;DFP;155635;2026-03-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155635
