CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
33.592.510/0001-54;2026-06-30;3;VALE S.A.;004170;ITR;159978;2026-07-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=159978
33.611.500/0001-19;2026-03-31;1;GERDAU S.A.;003980;ITR;156413;2026-04-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156413
33.839.910/0001-11;2026-03-31;1;VIVARA PARTICIPAÇÕES S.A.;024805;ITR;156856;2026-05-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156856
33.938.119/0001-69;2026-03-31;1;CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG;016616;ITR;157500;2026-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157500
33.958.695/0001-78;2026-03-31;1;UNIPAR CARBOCLORO S.A.;011592;ITR;157392;2026-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157392
34.169.557/0001-72;2026-03-31;1;BCO MERCANTIL DE INVESTIMENTOS S.A.;001309;ITR;156673;2026-05-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156673
34.274.233/0001-02;2026-03-31;1;VIBRA ENERGIA S/A;024295;ITR;156755;2026-05-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156755
34.274.233/0001-02;2026-03-31;2;VIBRA ENERGIA S/A;024295;ITR;156984;2026-05-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156984
35.522.178/0001-87;2026-03-31;1;CIA SECURITIZADORA DE CRED. FIN. CARTÕES CONSIGNADOS II;026107;ITR;157389;2026-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157389
35.593.905/0001-05;2026-03-31;1;CONCESSIONÁRIA ECOVIAS DO CERRADO S.A.;026581;ITR;156868;2026-05-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156868
